PublicationID	PublicationYear
39623556	2024
39476791	2025
27009517	2016
38863086	2024
39337610	2024
38234025	2024
39770475	2024
38867483	2024
23001866	2012
38195812	2024
37386816	2023
39866595	2025
36905223	2023
37776965	2023
35704222	2022
IND607996518	2023
18335973	2008
38240032	2024
35917389	2022
36250426	2022
37182961	2023
40076352	2025
35019169	2022
34812903	2022
35462458	2022
38890199	2024
34761422	2022
39146276	2024
36769193	2023
39885972	2025
38349033	2024
39408903	2024
37240133	2023
39363348	2024
39339263	2024
33990994	2021
37831372	2023
32966669	2020
32505293	2020
34213112	2020
32928430	2020
34215036	2021
39125116	2024
33340745	2021
33253428	2021
33264700	2021
32823373	2020
34213191	2020
34736684	2022
32609507	2020
33861925	2021
32312433	2020
34213273	2020
32617760	2020
38320992	2024
35689604	2022
31987180	2020
36080370	2022
32887111	2020
40028457	2025
39013805	2024
36297986	2022
34505429	2021
34255029	2021
29700847	2018
38933991	2024
31772265	2019
37954414	2023
30685036	2019
32093316	2020
36197413	2022
30082126	2018
30348416	2019
30661788	2019
32803689	2020
29286640	2018
38534226	2024
31763706	2020
28780868	2017
28247914	2017
28130905	2017
27935131	2017
39618966	2024
27858039	2016
31253267	2019
36430492	2022
34414355	2018
29877528	2018
37810728	2023
33806467	2021
33651405	2021
36320243	2022
37021044	2023
37196158	2023
27132848	2016
34342317	2021
28501170	2017
28059439	2017
26426398	2016
33133731	2020
27449705	2016
28432685	2017
34037947	2021
27558099	2016
32266673	2020
38528922	2024
40096308	2025
29744232	2018
27311371	2016
27578406	2016
33283177	2020
26086209	2015
37799303	2023
28263598	2017
26411263	2015
34443812	2021
28112296	2017
27473493	2016
36359874	2022
27286645	2016
25863018	2015
30966081	2018
32476063	2020
26142561	2015
31388584	2019
25522280	2015
31720515	2019
26105113	2015
33488828	2021
26112153	2015
36432720	2022
25363623	2015
38986034	2024
26658763	2017
25935677	2015
36617673	2023
28052090	2017
38004466	2023
28858680	2018
27181651	2016
25294295	2014
30970728	2017
25358129	2014
25440662	2014
37621430	2023
24849131	2015
33488219	2020
24947884	2014
24361715	2014
30791180	2019
23657446	2013
26362021	2015
34774603	2021
35494749	2021
34034105	2021
35041501	2022
PPR340259	2021
25589253	2015
25854854	2015
40018979	2025
29085987	2018
PPR241530	2020
27154684	2016
33260648	2020
23598032	2013
29094731	2017
22624952	2012
35423405	2021
22102514	2011
27166804	2016
30931300	2019
34281189	2021
34575982	2021
23136717	2012
23404796	2013
28301728	2017
23097126	2012
35392897	2022
24708346	2014
39430952	2024
30320522	2018
35407332	2022
21676661	2011
29728878	2018
32797755	2020
25579462	2015
21316688	2011
23177563	2012
35519105	2020
31855104	2020
37608223	2023
20965079	2010
21780285	2011
25059186	2014
36772161	2023
36675044	2023
35541978	2018
19775166	2009
35807372	2022
33668290	2021
33291486	2020
23177153	2012
30901973	2019
22033106	2011
31591283	2019
26230943	2015
34064769	2021
26160179	2015
20135704	2010
31450631	2019
24215427	2013
18826064	2008
25781478	2015
32872204	2020
22852806	2012
25130088	2014
35323736	2022
22828882	2011
19362215	2009
26046323	2015
22445860	2012
35889725	2022
22750172	2012
18065101	2007
22702719	2012
18807018	2009
18257319	2007
36153364	2022
27055261	2016
25550750	2014
36199327	2022
33233356	2020
32252223	2020
21218124	2011
28703779	2017
19517446	2009
37685134	2023
25101056	2014
30550583	2018
18959245	2008
16965780	2006
18185920	2008
34287996	2022
21809880	2011
18585152	2008
29298038	2018
36139158	2022
32364738	2020
18392588	2008
20491575	2010
19802330	2008
33924735	2021
17950064	2007
30960066	2019
15920771	2005
24166826	2014
28077656	2017
15828775	2005
22615909	2012
17498727	2007
17310331	2007
18232512	2007
18393342	2008
29403708	2011
23926946	2013
16837753	2006
24482794	2014
33488156	2020
35248557	2022
36982195	2023
39473774	2024
36143474	2022
36720498	2023
25516957	2015
19053312	2008
32353945	2020
16807938	2006
16716339	2006
16421941	2006
16364700	2006
34415162	2022
16041707	2005
36530770	2023
29321505	2018
23859073	2013
23706809	2013
18970457	2006
20729276	2010
18968933	2003
31976678	2020
15949785	2005
12689824	2003
27155361	2016
36424623	2022
24839583	2014
27715478	2016
16217830	2005
15732940	2005
16126357	2005
15935325	2005
15571349	2004
15378886	2004
14971503	2004
17294693	2006
11920868	2002
27231706	2016
25429435	2015
28217299	2014
22750303	2012
15543991	2004
34301293	2021
548565	2003
26484387	2015
15163857	2004
39415690	2024
15163860	2004
17961952	2007
12431087	2002
17465424	2007
PPR250050	2020
21845101	2011
17385667	2007
12761792	2003
11920881	2002
13129314	2003
11519955	2001
12641240	2003
12627441	2003
31815666	2019
32365872	2020
15051543	2004
24582833	2014
34924565	2021
16376902	2006
16830729	2006
17167530	2006
16545389	2006
12658702	2003
11504054	2001
21058031	2011
36115835	2022
16848680	2006
18007410	2004
33510857	2021
PMC7148936	2012
12023803	2002
33003431	2020
29068381	2017
17315151	2007
11271479	2000
11939562	2002
331329	1999
31261765	2019
19691050	2009
29083159	2017
11876437	2001
10790302	2000
20502814	2010
35408627	2022
11509371	2001
34704042	2021
11920880	2002
15714573	2005
29670072	2018
27757942	2016
36987873	2023
15777264	2005
11587342	2001
38229609	2022
35548017	2018
30734608	2019
20161587	2009
26056259	2015
11128217	2000
31869502	2020
19035631	2008
15941392	2005
25009536	2014
11465494	2001
31375853	2019
10608705	1999
22664469	2012
11451446	2001
10784138	2000
25387076	2014
10596820	1999
28764969	2017
20108261	2010
28008969	2016
10361504	1999
28474739	2017
10486755	1999
10343401	1999
24069412	2013
27768285	2016
25414347	2014
29509709	2018
29398776	2017
29342106	2018
9830159	1998
33844535	2021
32309278	2020
9657880	1998
31244941	2019
10532333	1999
26635393	2016
25299339	2014
30004690	2018
26440796	2015
9342658	1997
7894675	1994
35890285	2022
26313909	2015
9435121	1997
17253778	2007
32659966	2020
31929671	2015
24167271	2013
18980867	2008
25493908	2014
20665910	2010
27865995	2017
30216975	2018
9711233	1998
25379088	2014
18428984	2009
21954338	2011
12668453	2003
33484499	2021
18646279	2008
31733056	2019
31235991	2019
8080114	1994
32006251	2020
7978295	1994
27560688	2016
7981823	1994
12160464	2002
26061121	2015
11258893	2001
8491834	1993
16315182	2006
20111693	2009
8421278	1993
31631011	2019
33806173	2021
36434066	2022
22359573	2012
35600144	2020
29088096	2017
23707622	2013
25093707	2014
31249407	2019
35542411	2018
26100901	2015
22291571	2009
31366048	2019
21237304	2011
19549864	2009
15196054	2004
9611254	1998
23150810	2012
27289464	2016
29293309	2018
22722996	2012
23880771	2013
36679772	2023
19564957	2009
23473495	2013
20660786	2010
18554995	2008
32245108	2020
27652575	2016
24390461	2014
19291708	2010
23507745	2011
27651356	2016
16243972	2005
24893270	2014
27834863	2016
33670077	2021
23231259	2012
24005034	2013
18997008	2008
34493042	2022
36768936	2023
