PublicationID	PublicationYear
27009517	2016
21920321	2011
38638949	2024
38325737	2024
23442966	2013
PMC10671224	2023
36308942	2022
34687708	2022
39626123	2024
39412995	2024
37108613	2023
40034308	2025
38725578	2024
38499613	2024
39184319	2024
37847058	2023
38921828	2024
36431855	2022
30685622	2019
39848946	2025
36499945	2022
33803062	2021
36615246	2022
2712285	1989
39885972	2025
34200473	2021
34360641	2021
32093316	2020
32759367	2020
39100473	2024
34064676	2021
30255321	2018
32735914	2020
32266333	2020
36430492	2022
36094199	2022
31608468	2019
38955285	2024
35128413	2022
35155934	2022
37792512	2023
39608603	2025
35268627	2022
29932113	2018
33073080	2020
29728878	2018
PPR674618	2023
36250426	2022
28648046	2017
30187752	2018
33806467	2021
29693601	2018
40060009	2025
37331054	2023
29138643	2017
25330743	2015
34034105	2021
35625942	2022
23097126	2012
25363623	2015
32626857	2020
25462284	2015
34242315	2021
27584039	2016
38003521	2023
36456886	2023
31054177	2019
33297081	2021
34809457	2021
33668290	2021
22664469	2012
30618610	2018
29163366	2017
33307041	2021
35323736	2022
22089297	2012
26748884	2016
22750172	2012
39294149	2024
30320522	2018
31273753	2019
23590199	2013
26378798	2015
29744232	2018
33233356	2020
35890285	2022
31324699	2019
34452210	2021
26576950	2015
32803689	2020
29467569	2018
23568522	2013
25969394	2015
IND44381143	2010
34948007	2021
20821621	2010
31806705	2020
33670468	2021
22351688	2012
18554995	2008
25315444	2014
32012739	2020
25541747	2015
18834690	2009
15240441	2004
31776516	2019
35518031	2019
23001616	2012
27424662	2016
21447157	2011
26896718	2016
30842823	2019
31043439	2019
30593499	2019
23794624	2013
26444899	2015
26484387	2015
34181945	2021
27464895	2016
22916218	2012
31192221	2019
19239717	2009
19890364	2009
25946161	2015
17226964	2007
15530034	2004
25848850	2015
23177563	2012
17922678	2008
25247695	2014
19284573	2009
29068381	2017
22750303	2012
30674616	2019
19289203	2009
16386701	2006
31879528	2019
19462022	2009
34385812	2019
16420470	2006
32047429	2019
19520864	2009
16091935	2005
27336918	2016
15468330	2004
27136517	2016
32272790	2020
35492093	2020
20658211	2010
21290534	2011
31685848	2019
22362740	2012
15767250	2005
34737305	2021
23335197	2013
18404761	2008
11101313	2000
30103926	2018
21357718	2011
18364351	2008
22337878	2012
9337868	1997
11513420	2001
24390461	2014
29206185	2017
18065174	2008
23852086	2013
20837360	2010
18043873	2008
29552647	2018
25006248	2014
25448297	2015
23613584	2013
10772896	2000
10701943	1999
38437627	2024
10423702	1999
29361140	2018
29620050	2018
28334825	2017
10803926	2000
9420166	1997
28510102	2015
27639297	2016
21964396	2012
18558138	2008
1737956	1992
20111693	2009
19898476	2009
1648404	1991
8887741	1996
1610798	1992
2779527	1989
25197549	2013
9736545	1998
24691448	2014
8147941	1994
8653809	1996
8024646	1994
IND20580332	1995
33548225	2021
1777576	1991
18048417	2008
2700069	1989
9056484	1997
27289464	2016
8037675	1994
9260291	1997
2635866	1989
22148472	2012
11045624	2000
1799934	1991
32419578	2020
2289023	1990
20444623	2010
