PublicationID	PublicationYear
39424851	2024
39289322	2024
38870420	2024
38633000	2024
38897656	2024
PPR822740	2024
38856178	2024
38720179	2024
37290059	2023
37838760	2023
36603846	2023
36542811	2023
33837826	2021
36382113	2022
33360998	2022
34605430	2021
34882866	2022
39909321	2025
30929235	2019
30535510	2019
30618244	2019
39809444	2025
32348722	2020
39722389	2025
39579657	2025
39665790	2024
40060009	2025
39586439	2024
32153730	2020
39532172	2024
33654778	2019
34458786	2021
39420206	2024
39771484	2024
31729460	2019
39267485	2024
38467715	2024
39969852	2025
30177695	2018
39517275	2024
IND607996518	2023
39766332	2024
30134726	2018
39025455	2024
39337610	2024
39644990	2025
38987655	2024
39758680	2024
38761912	2024
39124899	2024
39478017	2024
39237531	2024
39583557	2024
39285183	2024
39529746	2024
PMC11201714	2024
38675834	2024
36430678	2022
37182961	2023
38826584	2024
37479174	2023
38511488	2024
38453105	2024
39458985	2024
39576659	2024
37739293	2023
39684748	2024
39801276	2025
38981945	2024
39407565	2024
39790993	2025
38675194	2024
36757172	2023
37795023	2023
36587921	2023
38069083	2023
36958685	2023
37318226	2023
38617645	2024
37562474	2023
39105871	2025
38060499	2023
37676932	2023
23889892	2013
37462367	2023
37442532	2023
38680367	2024
39195475	2024
36903434	2023
38024745	2023
36188253	2022
40002133	2025
37356378	2023
36902328	2023
39721006	2025
39365899	2024
38542992	2024
38540852	2024
38435526	2024
25625202	2015
39339156	2024
35722728	2022
39146276	2024
22435823	2012
PMC11068882	2024
37199793	2023
35940812	2022
37239819	2023
39302877	2024
39150147	2024
38126539	2024
37105626	2023
34626389	2022
38609708	2024
39413277	2024
39300082	2024
38073529	2023
36786363	2023
IND607418193	2022
38396772	2024
37176015	2023
38527460	2024
38326294	2024
23001866	2012
36716510	2023
IND607826442	2022
40060794	2025
38649351	2024
PPR933325	2024
39272600	2024
39858352	2025
35690164	2022
37175855	2023
33665758	2021
37958614	2023
35283663	2022
36326451	2023
34843699	2022
40060358	2025
PMC11205585	2024
38196720	2024
38708855	2024
37841109	2023
37835279	2023
38675488	2024
39873271	2025
39114181	2024
39466712	2024
36375666	2022
22733601	2012
39651108	2024
38891956	2024
39590779	2024
35960645	2022
37507907	2023
39959298	2025
36051670	2022
38072045	2024
39211619	2024
39331656	2024
20156458	2010
39777471	2025
35910117	2022
39583660	2024
35561507	2022
36818297	2023
39256555	2024
38327793	2024
37735883	2023
21895219	2011
35510656	2022
33191201	2021
36915826	2023
39211616	2024
37504143	2023
35217463	2022
35682643	2022
38578086	2024
36845588	2023
39619516	2024
36340147	2022
39220880	2024
PPR913101	2024
38577360	2024
37048308	2023
35380736	2022
36364250	2022
36364220	2022
34552186	2021
38177953	2023
37218059	2023
37227385	2023
35708474	2022
36348777	2022
37584689	2023
36035794	2022
36079888	2022
33933970	2021
35680166	2022
38639197	2024
39183911	2024
33264016	2020
39456793	2024
37469515	2023
35168735	2022
39959045	2025
36302035	2022
38980285	2024
34328515	2021
19373858	2009
36835132	2023
40017753	2025
38891780	2024
35866751	2022
33305695	2022
36873015	2023
39554431	2024
31555842	2019
39103340	2024
37345527	2023
39013805	2024
35955898	2022
40089506	2025
34808763	2022
35216066	2022
32126458	2020
38559763	2024
39145435	2024
38228910	2024
IND607290639	2021
36748888	2024
37252099	2023
34611772	2021
38980371	2024
36413919	2022
37153921	2023
34146962	2021
36340146	2022
38886167	2024
36986605	2023
34830239	2021
34612656	2021
34152744	2021
34842505	2022
39201558	2024
39541177	2024
36506183	2022
39009586	2024
38817739	2024
34468866	2021
39568916	2024
17145705	2007
36643541	2023
35630681	2022
37746915	2023
37513191	2023
37759363	2023
37270606	2023
33678153	2021
35323015	2022
39008798	2024
38605029	2024
38487241	2024
32027480	2020
33915041	2021
35614307	2022
36615258	2022
34052761	2021
38877980	2024
39093838	2024
34508722	2021
16884311	2006
39309075	2024
36900563	2023
32410989	2020
36358301	2022
39513392	2024
32151687	2020
40028457	2025
18335973	2008
33554397	2021
31712916	2019
15816062	2005
37808182	2023
35327600	2022
33829554	2021
34067030	2021
33040396	2020
33703900	2021
38882708	2024
37513405	2023
38534683	2024
39100473	2024
38607248	2024
37949229	2023
38230667	2024
37431037	2022
38873069	2024
27717855	2016
36779970	2023
37882436	2023
35884966	2022
38226204	2024
38507972	2024
37996405	2023
35814926	2022
35309456	2022
33514973	2021
35074427	2022
36678039	2023
35628500	2022
36982599	2023
31922753	2020
34572590	2021
38980078	2024
39186476	2024
35280745	2022
35107278	2022
37189392	2023
38790132	2024
39650619	2025
36500497	2022
39012824	2024
37798395	2023
34502332	2021
35451227	2022
32443670	2020
35023832	2022
35004641	2021
39406745	2024
37660906	2023
34770974	2021
31543004	2020
PPR667910	2023
36009009	2022
39356656	2024
35079639	2022
38822025	2024
32589033	2020
37360689	2023
39446389	2024
34361559	2021
39184288	2024
37941151	2023
36453647	2022
39246381	2024
33068900	2021
37920233	2023
36724382	2023
37202415	2023
34948007	2021
38349033	2024
37583825	2023
30368133	2018
35435705	2022
39424933	2024
38786177	2024
38397107	2024
31298858	2019
35322395	2022
36347951	2022
35794132	2022
34641399	2021
37289138	2023
36012157	2022
38820163	2024
36141023	2022
33738071	2021
36968448	2023
33505489	2021
37841166	2023
30007635	2018
35856676	2022
32400076	2020
37959132	2023
38933991	2024
38346011	2024
39273333	2024
35142499	2022
39936089	2025
30170174	2019
36309294	2023
34056193	2021
36795622	2023
39246747	2024
35565719	2022
30878845	2019
35731701	2022
32558864	2020
37513185	2023
38527204	2024
37491529	2023
39134523	2024
34948345	2021
37610128	2023
35064352	2022
37867681	2023
33959363	2021
39337278	2024
32253831	2020
36791199	2023
36121491	2022
34152657	2021
39327912	2024
37761171	2023
IND606796511	2020
33616279	2021
35563138	2022
36009035	2022
33204390	2020
37500797	2023
36324497	2022
38358255	2024
36009841	2022
39835670	2025
32433489	2020
32201851	2020
31351308	2019
31948101	2020
38374171	2024
38707315	2024
32376444	2020
34956492	2021
36638839	2023
39813330	2025
35721975	2022
38957136	2024
34925622	2021
36220405	2022
34681645	2021
34373755	2021
31533274	2019
35655868	2022
36092555	2022
39746981	2025
35286747	2022
34262338	2021
31427003	2019
