PublicationID	PublicationYear
39424851	2024
38720179	2024
38897656	2024
37290059	2023
37838760	2023
36382113	2022
34605430	2021
32348722	2020
32330412	2020
39823676	2025
33654778	2019
39870691	2025
40045724	2025
PPR993324	2025
32153730	2020
39833231	2025
39944624	2025
39737570	2024
39996969	2025
40100134	2025
39847823	2025
39477960	2024
39306651	2024
39838646	2025
40096805	2025
39989803	2025
PPR953476	2024
40005250	2025
38570455	2024
40076236	2025
39627219	2024
39829491	2025
PMC11847361	2025
40012358	2025
39805732	2025
PMC11710176	2024
39637484	2025
39302877	2024
40082588	2025
38906902	2024
39356180	2024
39200051	2024
39099605	2024
39446054	2024
39911658	2024
40050943	2025
40052138	2025
40079680	2025
PMC11203799	2024
39873511	2025
39589996	2024
39710370	2024
39589983	2024
39852095	2025
27009517	2016
39856037	2025
39727899	2024
39660217	2024
39941924	2025
39780407	2025
39473025	2024
PPR839221	2024
38776309	2024
38761495	2024
39479698	2024
39885306	2025
39513476	2025
39910429	2025
39421143	2024
38829419	2024
39829496	2025
39188023	2024
39366611	2024
PPR779693	2023
40060009	2025
38315360	2024
39446813	2024
PPR879720	2024
39979676	2025
PMC11861483	2025
39264014	2025
39644990	2025
39464610	2024
38670769	2024
38922308	2024
39503991	2025
39979532	2025
39411582	2024
39684731	2024
40119113	2025
39997020	2025
39444679	2024
39727836	2024
39476320	2024
40081987	2025
39431516	2024
39861871	2025
40087816	2025
39817557	2025
36156780	2023
39933575	2025
39871396	2025
38022377	2023
39350296	2024
40048090	2025
39565846	2024
40025218	2025
40006089	2025
38917138	2024
39877816	2025
39290379	2024
39861905	2025
39478017	2024
39466712	2024
39247689	2024
39550406	2024
39518985	2024
38613462	2024
39185427	2024
40102466	2025
39279715	2024
39113108	2024
40099854	2025
39599850	2024
39201259	2024
39358820	2024
40104837	2025
PMC11843257	2025
39744403	2024
38825159	2024
39894818	2025
37791739	2023
39957177	2025
40045452	2025
38514083	2024
40077556	2025
39153375	2024
39293742	2024
37358756	2024
39011388	2024
38890291	2024
39443289	2025
39309228	2024
40076865	2025
25314127	2014
39510192	2024
38555283	2024
39891300	2025
38572568	2024
39174623	2024
39260695	2024
39992115	2025
39849917	2025
39215579	2025
PPR856786	2024
40095124	2025
38957136	2024
PPR989677	2025
38793226	2024
40000737	2025
39989830	2025
39148630	2024
38374082	2024
38150000	2023
39559755	2024
38404916	2024
37866631	2023
38963011	2024
39840816	2025
38284532	2024
40001541	2025
40016971	2025
37964742	2024
