PublicationID	PublicationYear
32874513	2020
33654778	2019
39761350	2025
40092763	2025
38795585	2024
39277268	2024
39024792	2024
39713627	2024
39683250	2024
39769224	2024
38761474	2024
39829985	2025
37990582	2025
39594016	2024
39911342	2025
40055448	2025
38484588	2024
38042068	2024
38189149	2024
36739665	2023
39683868	2024
39600956	2024
38105760	2024
39635858	2024
39640613	2024
39758386	2025
38707315	2024
38338399	2024
38638949	2024
39598811	2024
38543263	2024
39436101	2024
38828190	2024
37390719	2023
37154483	2023
37705997	2023
39627324	2024
39337610	2024
36986735	2023
38791321	2024
38081993	2023
38694476	2024
IND607150464	2022
38067419	2023
38586870	2024
39599296	2024
40051838	2025
36296510	2022
36652806	2023
37110695	2023
39113987	2024
38019994	2023
39677835	2024
36327139	2023
38148850	2023
36184736	2023
38099935	2024
39403486	2024
36628864	2023
39514700	2024
39371321	2024
39456793	2024
39184462	2024
39113903	2024
38187276	2024
39301936	2024
39650841	2024
36515760	2023
PMC11209914	2024
39588240	2024
39027624	2024
39461990	2024
38034750	2023
38882034	2024
38131095	2023
38911777	2024
35489089	2022
39811293	2025
PPR489994	2022
36771001	2023
36816844	2023
38399286	2024
39161455	2024
39200227	2024
35468353	2022
39406798	2024
37110675	2023
39676998	2024
39511291	2024
39309270	2024
35358908	2022
36305314	2022
40034308	2025
PMC11241532	2024
37671352	2023
38345747	2024
PPR411452	2021
38203208	2023
38808245	2024
35617167	2022
37849701	2023
37896159	2023
37175189	2023
37345527	2023
37047364	2023
36934128	2023
39838440	2025
37478132	2023
38764694	2024
39529746	2024
35278509	2022
34542936	2021
34276939	2021
37298974	2023
39355225	2024
40048643	2025
38033730	2023
39223199	2024
36985629	2023
33288167	2020
37298912	2023
39281800	2024
33970817	2022
39309784	2024
PMC10912976	2024
37014687	2023
38389869	2024
36558069	2022
37762406	2023
39231922	2024
38312678	2024
37867681	2023
34072560	2021
40110349	2025
38371765	2024
38528922	2024
37049814	2023
35425164	2022
33743310	2021
37687517	2023
37529362	2023
36060988	2022
37375259	2023
36840012	2023
40028106	2025
38741961	2024
39620392	2025
37174284	2023
38257385	2024
37726357	2023
35498077	2021
39861126	2025
39202986	2024
38196905	2024
35457032	2022
36662317	2023
37908657	2023
39460815	2024
35283663	2022
37025671	2023
36844564	2023
35563138	2022
33086114	2020
PMC10671224	2023
39139233	2024
39968347	2025
39384832	2024
36902328	2023
37765027	2023
39309098	2024
37941962	2023
38179532	2024
36140892	2022
36570192	2022
39684748	2024
36139158	2022
35614307	2022
39459210	2024
38474273	2024
36613320	2022
38162392	2023
PPR157417	2020
34449623	2021
34445446	2021
38327780	2024
35791857	2022
38871808	2024
39704129	2025
37653446	2023
33240591	2020
37397215	2023
39338356	2024
34443364	2021
38144095	2023
PPR508379	2022
37489813	2023
36903434	2023
36548787	2023
40097425	2025
37239896	2023
33075117	2020
32348934	2020
38234870	2024
36903592	2023
35968883	2022
32335105	2020
35721392	2022
37008107	2023
37569273	2023
37198413	2023
37213331	2023
38672917	2024
39429924	2024
35530396	2022
37242587	2023
34632408	2021
36768159	2023
35480007	2021
39769964	2024
33488194	2020
37375164	2023
35456614	2022
37049785	2023
39582278	2025
39058699	2024
31986436	2020
39162002	2024
35516624	2020
36913165	2023
35834514	2022
36768885	2023
37915556	2023
31377290	2019
36925472	2023
36349019	2022
35333006	2022
34361559	2021
31432748	2020
31293690	2019
36425186	2022
30099313	2019
36500581	2022
36128362	2022
37841109	2023
37969992	2023
36952670	2023
30942140	2019
36557336	2022
33920537	2021
35479699	2021
34411162	2021
31284715	2019
29448170	2018
36605643	2022
31783535	2019
PMC10913039	2024
39408903	2024
31284102	2019
35508533	2022
30818152	2019
30661788	2019
36365579	2022
38474457	2024
34204692	2021
29301411	2018
31334043	2019
37177076	2023
38438395	2024
37162754	2023
